Hour;Total_Consumption
413;2.4479166666666665
414;3.0775
415;2.742083333333333
416;2.5445833333333336
417;1.1158333333333332
418;1.1291666666666667
419;5.932083333333334
420;6.397499999999999
421;2.83875
422;2.6341666666666668
423;2.9766666666666666
424;3.2966666666666664
425;2.4479166666666665
426;1.9608333333333332
427;1.7675
428;1.9987499999999998
429;2.8412500000000005
430;1.3358333333333334
431;0.58625
432;0.5379166666666667
433;0.53375
434;0.5308333333333334
435;0.8583333333333334
436;2.149583333333333
437;2.1341666666666663
438;2.2316666666666665
439;1.9566666666666666
440;2.635416666666667
441;4.278333333333333
442;4.6104166666666675
443;4.4629166666666675
444;3.7620833333333334
445;4.620416666666667
446;3.9162500000000002
447;3.7491666666666674
448;0.7191666666666666
449;0.5683333333333332
450;1.01125
451;1.4237499999999998
452;1.2158333333333333
453;2.3325
454;2.30875
455;0.7020833333333334
456;0.65
457;0.8049999999999999
458;0.5608333333333334
459;0.53875
460;0.54375
461;0.5408333333333334
462;1.0391666666666666
463;1.1287500000000001
464;1.9258333333333333
465;2.0225
466;6.810833333333334
467;6.63125
468;5.47
469;1.8083333333333333
470;1.2754166666666666
471;0.6120833333333334
472;0.6604166666666667
473;0.5145833333333333
474;0.5095833333333333
475;0.51875
476;0.5179166666666667
477;1.4466666666666665
478;0.75625
479;0.5770833333333334
480;0.54375
481;0.5541666666666667
482;0.5529166666666666
483;0.55125
484;0.55125
485;0.5499999999999999
486;0.545
487;1.0954166666666665
488;0.5916666666666668
489;1.2079166666666667
490;1.1358333333333333
491;1.1954166666666666
492;1.2854166666666667
493;0.8674999999999998
494;1.0391666666666666
495;1.20375
496;0.9283333333333335
497;1.33
498;1.7958333333333336
499;2.015833333333333
500;3.0808333333333335
501;1.6866666666666665
502;1.02375
503;0.6358333333333333
504;0.6041666666666666
505;0.5895833333333333
506;0.5770833333333334
507;0.5974999999999999
508;0.5741666666666667
509;0.5599999999999999
510;1.5250000000000001
511;1.8620833333333333
512;1.01125
513;0.4883333333333334
514;0.5012499999999998
515;0.5033333333333336
516;0.5045833333333333
517;0.5075
518;0.5099999999999999
519;0.6804166666666669
520;0.7925
521;3.075416666666667
522;2.0354166666666664
523;1.60375
524;1.4120833333333334
525;1.0929166666666668
526;0.5829166666666666
527;0.5
528;0.48875
529;0.4845833333333333
530;0.4724999999999999
531;0.47000000000000003
532;1.3366666666666667
533;2.2399999999999998
534;6.112916666666666
535;7.868333333333334
536;7.187916666666667
537;6.629166666666666
538;5.748333333333333
539;0.8533333333333334
540;0.48958333333333326
541;0.4958333333333333
542;0.49041666666666667
543;0.47791666666666666
544;0.4675
545;0.8174999999999998
546;1.6525
547;2.585833333333333
548;2.1774999999999998
549;1.4483333333333333
550;1.18875
551;0.5625000000000001
552;0.55625
553;0.55
554;0.5441666666666667
555;0.54
556;0.7570833333333333
557;2.174166666666667
558;2.9000000000000004
559;0.6045833333333334
560;1.1741666666666668
561;0.48125000000000007
562;0.48458333333333303
563;0.49166666666666653
564;0.49416666666666664
565;0.48916666666666664
566;0.4795833333333334
567;0.45166666666666677
568;0.4179166666666667
569;1.8241666666666667
570;1.5666666666666667
571;1.3245833333333334
572;0.8066666666666669
573;0.67
574;0.7129166666666668
575;0.5416666666666667
576;0.5241666666666667
577;0.5179166666666666
578;0.5287499999999999
579;0.5325
580;1.7374999999999998
